Q1-Location,Q2-Price,Q3-Rooms,Q4-Other rooms,Q5-Bathrooms,Q6-Car Parks,Q7-Property Type,Q8-Furnishing,Q9-Size
5,1199000,4,1,6,2,32,1,22
33,1200000,5,,4,,45,,4464
18,1638000,5,1,6,3,39,3,4430
4,320000,1,,1,,10,1,610
33,510000,1,,1,1,10,1,705
11,1350000,3,1,3,2,11,2,2163
19,950000,3,1,3,2,3,2,1554
11,950000,3,1,3,2,1,1,1432
4,315000,3,,2,,31,2,839
4,660000,4,,3,1,37,2,2464
11,4030000,,,,,47,,8500
59,780000,3,,2,2,12,2,1151
59,630000,3,,2,1,11,2,839
16,630000,3,,2,1,11,2,839
22,9000000,5,1,6,6,2,2,13000
81,2500000,5,1,7,,8,2,3200
4,800000,5,,5,4,21,2,2903
2,4700000,3,1,2,,8,,8022
22,730000,2,,1,1,3,1,1011
21,460000,3,,2,1,1,,1615
21,460000,3,,2,1,1,,1018
21,460000,3,,2,2,1,2,1018
11,900000,3,,3,1,3,1,1208
11,980000,3,1,3,2,11,2,1828
21,460000,3,,2,1,11,,1018
14,395000,1,,2,1,1,2,775
4,2880000,7,1,7,,7,3,5996
14,2100000,5,,3,,2,,5428
11,2000000,3,1,5,5,11,2,2540
4,2380000,5,1,6,2,30,2,3500
21,250000,3,,2,1,11,2,845
21,330000,3,,2,2,12,2,940
21,580000,4,,3,,11,2,1416
11,1200000,4,,4,2,11,1,2713
11,735000,3,1,2,1,11,2,1733
11,600000,3,,2,2,11,2,1290
11,620000,3,1,2,2,11,2,1408
34,3280000,4,1,6,2,7,2,23
34,3300000,4,1,6,2,7,2,23
17,480000,3,,2,1,11,1,875
7,687000,2,,2,1,12,2,
24,5000000,3,1,4,2,10,2,2406
31,578000,2,,2,1,1,2,950
1,2700000,3,1,5,,1,1,1927
1,2300000,3,1,4,,1,1,1804
1,2300000,3,1,5,,1,1,1804
3,1300000,4,,4,,11,,2000
22,3967500,4,1,6,,3,2,3450
1,3373500,3,1,5,,3,1,2294
1,2572000,3,1,5,,3,2,2144
1,3800000,3,,3,2,10,2,1786
21,420000,3,1,2,2,10,,918
21,520000,3,1,2,2,1,2,1059
47,532000,3,,2,2,11,3,1003
4,440000,3,,2,2,11,3,1104
21,460000,3,,2,2,12,3,1219
32,644000,4,,3,2,10,2,1099
32,625000,4,,2,1,10,3,948
21,450000,3,,2,1,12,3,1021
21,860000,6,,4,3,12,3,1800
17,435000,3,,2,2,12,3,926
17,470000,4,,2,2,12,3,1065
47,532000,3,,2,2,12,3,1003
17,470000,3,1,2,2,12,3,1065
21,724000,4,,2,2,12,2,1185
18,2650000,7,1,7,3,9,2,6205
10,15000000,7,1,7,,9,2,11981
14,738000,3,,2,2,3,2,1392
16,545000,3,,2,2,3,2,1004
14,665000,3,,3,2,3,2,1356
27,520000,3,,2,2,3,2,980
14,648000,2,,2,2,3,2,1168
14,699999,3,,2,2,3,2,1168
7,5980000,6,1,7,,7,2,4520
5,368000,3,,2,1,12,2,1222
14,665000,3,1,2,1,12,1,1354
27,720000,3,1,2,2,3,2,1607
34,3480000,5,1,6,,8,2,3600
20,1350000,1,1,2,1,10,2,1033
1,820000,2,,1,1,10,2,883
24,730000,2,,2,,10,1,696
4,346000,2,,1,,10,1,695
4,399000,3,,2,1,12,1,927
24,950000,2,,2,,10,1,840
23,1740000,2,1,2,,10,1,1442
1,2260000,3,,3,2,3,1,1518
1,2210000,2,,2,2,12,1,1464
8,365000,3,,2,1,12,2,1100
1,4350000,3,2,4,,14,2,3600
1,1670000,3,1,4,2,10,1,1463
1,1560000,2,1,2,1,10,1,1022
1,1860000,3,1,5,2,12,2,2098
33,750000,3,,2,1,10,1,950
33,630000,2,,2,1,10,1,856
4,515000,3,,2,1,10,2,1097
4,899000,2,,2,1,5,2,847
27,425000,2,1,2,1,12,2,970
1,1680000,4,1,5,,3,1,2315
1,2750000,3,1,4,,14,2,2472
1,2060000,3,1,3,2,10,2,1426
27,500000,3,,2,1,10,2,935
23,1832000,3,1,3,2,12,2,2838
1,1832000,3,,3,2,3,1,1518
4,490000,1,1,2,1,10,2,719
4,545000,3,,2,,10,2,1097
4,630000,2,1,2,,10,3,920
4,465000,2,,2,,10,2,916
4,495000,1,1,2,1,10,3,719
4,450000,2,,2,1,10,2,916
24,3622400,3,1,5,2,10,1,2013
24,2800000,2,,2,1,10,1,1307
24,1280000,2,,2,2,10,1,1200
4,625000,2,1,2,,10,3,920
4,985000,2,,2,1,5,2,953
4,1160000,3,,2,,31,2,1220
50,280000,3,,2,1,12,2,900
1,1500000,2,1,3,,10,1,1076
4,390000,1,,1,2,12,3,619
20,2100000,2,,2,1,14,1,1625
1,825000,1,,1,1,10,1,710
1,630000,1,,1,,10,1,453
4,380000,2,,1,,10,1,695
4,1750000,3,1,3,2,31,2,1895
34,3600000,5,1,6,,8,3,4600
21,460000,3,,2,,1,3,1018
21,460000,3,,2,,1,2,1018
21,460000,3,,2,,14,2,1018
4,519000,2,,2,1,12,3,962
21,600000,,,,,54,,1765
4,730000,3,,2,2,3,3,1137
4,580000,2,,2,1,12,3,996
21,375000,3,,2,2,1,3,1009
4,790000,3,,2,2,10,2,1125
4,790000,3,,2,2,1,2,1125
6,850000,3,,2,1,11,,1478
21,228000,3,,2,1,5,2,700
30,299000,1,,1,1,25,2,747
29,700000,3,,2,,11,,1250
10,1347880,3,1,,,25,2,2174
15,488000,3,,2,1,3,2,1100
1,2500,1,1,2,1,11,1,850
30,560000,2,,2,1,1,1,713
24,1100000,2,1,3,,1,1,1196
33,4340000,5,1,8,3,11,2,6026
33,4320000,5,1,8,3,11,1,6000
33,2244960,4,1,6,,11,2,3118
3,926541,4,,4,,11,,1719
4,650000,3,,2,1,1,2,914
5,1035000,4,1,3,2,11,2,1513
17,1650000,3,,3,1,11,1,1540
27,330000,3,,2,,12,2,1067
1,3800000,5,,5,,3,2,5091
4,4500000,8,,8,,9,1,9980
37,4500000,6,1,6,8,2,,8500
22,1500000,4,,2,,26,3,1915
14,738000,3,,2,2,11,,1392
14,850000,3,1,3,2,11,1,1406
14,998000,3,1,4,2,3,,1782
14,699000,2,,2,2,12,2,1164
14,999900,3,2,4,2,11,1,1710
14,989000,4,,4,2,12,,1782
5,4000000,,,,,2,,8747
17,1936300,3,,3,1,10,2,1139
17,1541900,2,,2,,10,2,907
17,1521500,2,,2,1,10,2,895
17,1062800,1,,1,1,10,2,625
20,6831000,4,1,6,,14,3,4058
34,598000,1,,1,,1,1,450
29,490000,3,,2,2,37,2,1300
37,3600000,7,1,5,4,2,,8500
11,980000,3,2,3,2,74,2,1828
41,3550000,5,,5,,8,2,4500
19,480000,3,,2,1,13,2,1323
37,6200000,6,,7,10,2,1,9450
5,780000,3,,2,2,11,2,1404
11,1500000,3,1,5,2,27,2,3100
21,460000,3,,2,1,10,3,1018
56,588000,3,,2,2,10,2,1100
4,383000,3,,2,1,12,3,1025
5,430000,2,,2,1,5,3,1000
27,6000000,7,1,8,6,7,3,7417
8,2780000,5,1,5,4,30,2,60
56,2900000,6,1,7,1,7,3,8878
59,190000,,,,,62,,895
10,,,,,,47,,15000
14,1430000,3,2,4,,3,2,2638
21,460000,3,,2,1,10,3,1018
22,1690000,4,1,5,2,11,2,2145
19,1720000,6,1,7,,23,2,4500
17,7150000,3,,6,8,9,2,13000
10,13800000,6,1,7,,9,1,28000
21,3750000,,,,,7,3,15000
14,580000,2,,2,1,14,1,1270
22,1580000,3,1,4,2,11,2,1858
23,1050000,3,,2,,14,1,1510
33,2500000,4,2,6,3,11,2,3788
9,5010000,4,1,5,4,3,3,4412
9,4030000,3,1,4,3,3,3,3648
9,4157000,3,1,4,3,12,3,3551
9,4705000,4,1,5,3,12,3,4293
1,3450000,3,1,4,2,10,1,2300
1,1300000,1,1,1,,1,2,721
33,500000,1,,1,1,10,2,705
23,1632000,2,1,3,,14,1,1970
24,1000000,3,,3,1,10,1,1063
33,2500000,4,1,5,3,3,2,3847
23,1980000,2,1,2,2,3,1,2390
9,3177720,3,1,4,3,3,2,4074
9,1650000,3,1,3,2,14,1,1630
22,6500000,5,1,5,,2,2,8923
23,1500000,4,1,3,2,11,2,2164
19,660000,3,,2,1,11,2,1001
16,1600000,4,1,5,,32,2,3216
17,800000,5,,2,3,11,2,1403
29,598000,3,,2,1,1,2,935
2,7500000,4,1,5,,2,2,11054
3,1150000,3,1,4,2,3,2,1710
30,690000,3,,,,11,2,1300
11,1100000,3,1,3,2,3,2,1605
32,250000,2,,1,1,48,2,640
11,1480000,3,,4,2,11,1,1907
9,23000000,7,1,8,,2,,22000
14,615000,2,,2,1,1,,900
14,697000,3,,2,1,10,2,1112
14,667000,3,,2,1,10,2,1202
11,2200000,5,1,6,3,3,3,4100
14,850000,3,,2,1,1,,1200
24,1360000,3,,2,2,1,1,1555
26,1280000,4,,2,3,9,3,3111
43,610000,3,,2,2,12,2,978
12,5300000,5,2,6,,15,2,2788
12,4380000,,,,,33,,6620
26,500000,4,,2,,62,3,1575
10,7534038,,,,,33,,12191
26,720000,3,1,2,3,14,1,1292
4,998000,3,,3,,18,2,40
21,1350000,4,,3,,2,3,6300
22,3480000,4,1,4,,34,2,3500
3,598000,3,,2,2,3,1,1100
22,1680000,3,2,4,2,3,1,2200
10,15000000,7,1,8,,9,2,11981
5,900000,3,,3,2,3,2,1450
4,4000000,5,,7,10,2,2,7449
19,580000,3,,2,2,42,,600
19,450000,3,,2,1,42,,600
19,390000,3,,3,2,42,,600
11,750000,3,,2,2,11,1,1238
19,380000,3,,2,1,42,,600
19,460000,3,,2,2,42,1,12
41,920000,4,,3,4,17,,1870
19,379999,3,,2,1,42,,600
32,550000,3,,2,2,1,2,893
3,423000,1,,1,1,1,1,646
15,425000,3,,2,1,10,3,879
32,390000,1,,1,1,1,2,651
21,1100000,,,,,53,3,7200
55,299000,1,,1,1,11,2,450
4,1200,3,,2,,11,2,1120
2,2850000,3,1,3,2,18,2,3229
14,560000,3,,2,1,12,1,1385
4,340000,3,1,2,1,3,2,903
33,799000,4,,3,4,17,2,21
18,750000,3,,2,,17,2,1260
30,530000,3,,2,,32,2,588
5,5638000,4,2,6,,2,1,8568
3,790000,3,1,3,2,11,1,1400
47,2400000,8,,5,,23,2,3584
47,520000,3,,2,1,11,2,1400
4,560000,3,,2,1,11,1,1198
1,1200000,2,,1,1,1,2,1100
6,660000,3,,2,,11,2,1281
24,1150000,3,1,3,,14,1,1556
19,440000,3,,2,2,12,3,1230
9,650000,2,1,2,1,12,2,904
11,1350000,3,,2,3,11,2,1200
3,1450000,2,1,3,1,3,2,1406
8,890000,4,,4,3,10,2,2357
4,315900,3,,2,,32,,796
21,1400,3,,2,1,11,,1280
11,2980000,3,1,,,11,2,3317
11,3200000,4,,,,11,2,3729
4,886000,2,,1,1,16,3,1121
3,560000,3,,2,1,3,2,1100
16,1200000,5,,4,,15,2,2600
5,525000,3,,3,2,3,2,1009
21,550000,3,,2,2,3,1,908
5,528000,3,,2,2,3,2,1090
14,480000,3,,2,1,11,2,1191
2,3200000,5,,5,4,28,1,2078
26,648000,3,,2,2,28,2,1240
22,6490000,6,1,7,5,9,2,9414
16,376000,2,,2,,1,,800
2,4300000,6,,6,,7,2,6360
2,7500000,5,2,6,,2,2,7530
14,668000,2,,2,2,12,2,1164
14,730000,3,,2,2,11,,1392
14,850000,4,,4,2,12,2,1663
22,3980000,4,,4,4,2,2,6156
22,3900000,4,2,4,,2,2,8030
22,5180000,5,1,6,,2,2,6000
22,4800000,5,1,5,,2,2,7028
22,5000000,7,,6,,2,,15600
22,4900000,6,,5,,2,2,12000
27,185000,3,,2,,67,3,952
22,3900000,4,2,5,,9,2,6335
22,4300000,4,1,4,,2,2,6580
22,4000000,4,1,3,,2,2,5500
22,4200000,5,,4,,2,2,6950
27,510000,3,,2,1,11,2,1120
14,440000,3,,2,1,12,2,1258
27,580000,4,,3,2,11,3,1500
47,499000,3,,2,2,11,,1046
1,1085000,2,,2,1,11,2,1551
8,435000,3,,2,,11,2,1385
4,,3,,2,2,11,1,860
4,2300000,18,,14,,2,1,5786
1,1300000,1,,1,1,11,2,860
5,1100000,4,,3,3,3,2,2756
5,310000,2,,2,1,5,2,818
26,420000,3,,2,1,31,2,1081
13,637000,1,,1,,1,,638
7,1300000,5,1,4,,32,2,22
11,2250000,,,,,11,,3732
17,880000,1,,1,1,11,,743
47,600000,3,,2,1,11,,1418
5,880000,3,1,3,2,11,2,1335
11,1450000,3,1,,,11,1,2163
30,360000,3,,2,1,5,2,918
1,1150000,2,1,3,2,10,1,1313
41,340000,3,1,2,1,11,3,982
43,689000,3,,2,2,3,2,978
21,460000,1,,1,1,12,2,753
24,1200000,2,,2,,14,2,1200
24,850000,1,1,2,,10,1,837
24,1300000,3,,2,,14,2,1555
26,170000,3,,2,,62,,725
16,500000,3,,2,2,3,2,1180
26,555000,3,,2,1,12,2,1030
16,700000,3,,2,,3,2,1392
11,1800000,4,1,4,3,11,4,2700
11,2300000,4,1,4,,8,2,3751
30,3200000,5,1,6,,8,1,40
30,3000000,5,1,6,,8,1,40
3,3480000,5,1,6,,15,2,2863
3,3280000,5,1,6,,15,2,2700
11,1730000,3,1,,,11,,2073
11,2300000,3,,,,11,2,2973
11,1350000,3,1,2,2,12,2,1868
11,12800000,8,,10,,2,2,15750
19,680000,3,1,2,2,11,1,1355
19,760000,3,,2,2,11,1,1355
19,600000,3,,2,2,11,2,1081
29,628000,3,,2,1,1,1,935
29,528000,2,,2,1,1,1,715
29,525000,2,,2,1,1,1,715
11,588000,2,,1,1,10,2,595
4,4197095,7,1,8,,7,2,5987
11,800000,2,1,2,1,11,1,1290
17,2800000,,,,,53,4,16824
18,3834800,5,1,6,,7,2,4434
32,760000,3,,2,2,3,2,1382
5,530000,3,,3,2,12,2,1003
4,479000,3,,2,2,11,3,1018
33,1550000,5,1,4,2,8,2,3600
43,420000,3,,2,1,11,1,1068
32,730000,3,,2,2,11,2,1206
21,580000,4,,3,2,11,2,1408
21,250000,3,,1,,5,3,658
6,570000,3,,2,1,11,1,1326
10,1550000,3,1,,1,11,1,2100
18,2200000,5,1,6,,32,2,4285
21,195000,3,,1,,62,2,700
8,388000,3,,2,1,3,2,1129
43,645000,3,1,3,1,3,2,1504
2,6000000,,,,,33,,10000
43,538000,3,,2,1,13,2,1270
30,890000,3,1,3,2,11,3,1300
5,530000,3,,2,2,12,3,1003
7,3350000,5,1,6,,9,2,8000
26,330000,3,,3,2,54,2,1400
21,270000,3,,2,1,11,,850
3,895000,3,1,4,2,3,1,1520
11,1200000,3,1,2,2,3,1,1756
11,1100000,3,1,3,2,3,1,2036
21,415000,4,,2,1,11,2,1272
32,400000,3,,2,1,11,3,1162
32,420000,3,,2,1,11,,915
26,570000,3,,2,1,3,1,1109
26,370000,3,,2,1,5,2,850
26,530000,3,,2,4,26,2,1650
14,1900,3,,2,2,1,2,1096
54,990000,5,,4,4,42,,2400
21,190000,3,,1,,48,2,635
5,1700000,5,,3,,42,,3200
11,670000,2,,2,1,11,1,1048
26,538000,3,,2,4,26,4,1300
4,820000,4,,3,,17,,2691
4,610000,2,,2,1,10,1,986
15,560000,3,,1,,11,,1400
15,560000,3,,1,,11,,1295
4,650000,3,,2,,14,2,979
4,598000,1,1,2,1,14,1,985
4,625000,3,,2,2,14,2,1300
27,814500,4,,3,,11,,2056
4,3300000,6,,5,,7,2,8470
2,3700000,4,1,6,,32,2,3900
5,430000,2,,2,1,25,2,1018
1,1350000,1,,1,1,10,1,679
1,1723000,1,,1,1,10,2,700
1,1995000,1,1,1,1,1,2,808
5,500000,2,,2,1,25,1,994
17,1100000,2,1,2,1,1,1,1076
1,1750000,2,,2,1,1,1,1110
1,2050000,3,,3,2,1,1,1800
1,880000,2,,1,1,1,1,601
1,730000,1,,1,1,14,1,603
24,820000,1,1,2,,10,2,837
24,1330000,2,,2,,10,2,1200
24,900000,1,1,2,,10,1,837
24,1450000,3,,3,,10,2,1555
1,2680000,3,1,3,2,10,2,3095
30,660000,3,,2,2,11,2,1019
26,1050000,4,,4,,6,3,1540
26,1480000,3,1,3,,17,2,2400
1,1090000,2,2,3,2,1,1,1313
1,1289000,3,1,3,2,1,3,1701
1,1299000,3,1,3,2,1,3,1701
1,1300000,3,1,3,2,1,3,1701
1,1299000,3,1,3,2,1,3,1701
1,1299000,3,1,4,2,1,3,1701
1,829000,2,1,3,1,1,3,1055
1,560000,1,,1,1,1,2,624
1,1299000,3,1,4,2,1,3,1701
29,630000,3,,2,1,1,1,935
1,1490000,3,1,3,2,1,2,1755
21,420000,1,1,1,1,10,2,689
9,10000000,6,1,8,,34,2,7134
5,660000,3,1,3,2,11,2,1500
24,700000,1,,1,,14,1,578
24,3700000,3,1,5,2,14,1,2405
24,4000000,2,,3,1,14,1,1509
24,1280000,2,,2,,14,2,1098
23,2400000,2,1,2,1,14,1,1614
1,2300000,1,1,1,1,10,1,1076
1,3252000,2,1,2,2,1,2,1668
1,1780000,3,1,4,2,3,2,2411
1,2500000,2,1,4,2,14,1,1932
1,3500000,3,1,5,3,3,2,3439
1,960000,1,1,1,1,10,1,900
1,900000,1,,1,1,10,2,809
1,1100000,2,1,3,2,14,2,1313
1,2000000,3,,2,2,14,1,1626
17,900000,1,,1,1,14,1,646
24,2600000,2,,2,1,10,1,1307
24,4200000,3,1,5,2,14,2,2645
13,650000,1,1,1,1,10,2,681
13,625000,1,,1,1,10,2,565
36,2290000,4,,5,2,49,2,4000
48,1300000,3,1,4,,37,2,2800
22,750000,1,,1,1,1,1,784
22,750000,1,,1,1,14,1,784
1,3050000,4,,3,2,1,1,2343
26,330000,3,,2,1,25,2,1330
30,370000,3,,2,1,5,2,1160
27,240000,3,,2,10,48,2,750
15,300000,3,,2,1,25,2,1100
3,465000,3,,2,1,12,2,1200
26,370000,2,1,2,1,5,2,1001
63,315000,3,,2,1,5,2,855
26,365000,3,,2,1,5,2,1010
21,390000,3,,2,1,11,2,1231
21,395000,3,,2,1,11,2,1207
21,800000,5,,4,,11,3,2550
20,1100000,1,1,1,1,13,1,913
20,950000,1,1,1,1,3,1,
13,1200000,3,,2,1,1,3,1119
13,990000,3,,2,1,1,,
21,290000,3,,2,1,11,2,845
11,1157000,3,,2,,11,,1364
21,295000,3,,2,1,11,2,845
13,650000,2,,2,1,10,2,823
41,380000,3,,2,,11,,982
15,550000,3,,2,,11,,1320
15,440000,3,,2,,11,,1100
21,325000,3,,2,1,3,2,845
21,638000,3,,2,2,11,3,
19,650000,3,,2,2,11,2,1079
1,950000,2,,2,,1,1,1148
25,730000,2,,2,1,1,2,924
56,300000,3,,2,1,11,,800
32,870000,3,1,3,1,11,1,1647
5,610000,3,,2,2,3,2,1404
20,1950000,2,1,2,,1,,1485
20,1600000,1,1,2,1,14,2,1259
20,2600000,3,1,3,2,1,1,1787
20,2380000,3,1,3,2,1,,1787
19,680000,2,,2,2,12,2,738
4,990000,4,1,4,2,11,3,1672
11,8500000,6,,6,5,2,1,9171
32,1140000,3,1,4,2,3,3,1719
1,1500000,2,,2,1,1,1,1050
4,1250000,4,1,4,5,11,3,2059
29,1600000,3,1,4,2,12,1,1784
22,1380000,2,1,2,2,3,1,1590
22,1750000,4,,3,,6,3,2125
19,1000000,3,,3,1,12,3,1238
23,850000,2,,2,,14,1,1040
11,680000,3,,2,1,11,2,1200
11,1080000,3,1,2,1,11,2,1400
26,1100000,3,,2,,51,2,3493
22,5200000,8,,4,,2,2,15618
22,25000000,11,1,8,,2,2,22000
6,670000,3,,2,1,3,2,1281
6,4390000,6,1,8,4,9,2,9100
18,2550000,5,2,7,6,19,2,4618
6,710000,3,,2,1,12,2,1453
6,700000,3,,2,1,3,2,1281
6,700000,3,,2,1,3,2,1281
6,700000,3,,2,1,3,2,1281
11,2600000,4,1,5,3,3,2,3041
22,12500000,6,1,5,,2,2,11500
11,7500000,7,1,7,3,2,2,6200
6,700000,3,,2,1,11,2,1281
58,650000,,,,1,1,1,737
72,1400000,,,,,43,,8000
6,700000,3,,2,1,3,2,1281
2,3700000,4,1,4,2,4,2,5300
11,3700000,4,1,5,,4,2,3000
22,8720000,5,1,6,,29,2,5450
11,850000,3,,2,2,11,1,1268
11,2550000,3,1,4,,11,,3000
11,660000,2,,2,,11,1,1054
14,1290000,3,2,4,3,12,2,2128
7,2350000,,,,,11,,2900
11,1860000,4,1,6,3,11,2,2405
22,5350000,4,1,5,3,11,2,3570
22,4530000,3,1,4,3,3,2,3237
2,1280000,2,1,3,,11,2,1388
22,4000000,4,1,5,3,3,2,3600
22,4130000,3,1,4,2,11,2,2950
22,6900000,6,1,6,,11,2,5700
24,670000,2,,2,1,11,2,1456
4,680000,3,1,2,,12,3,1500
5,450000,4,,2,,3,2,1088
34,3480000,5,1,5,4,4,3,3700
7,2600,2,,2,1,11,1,1000
11,1200000,3,,2,2,3,1,1564
3,530000,3,,2,2,3,3,1460
14,560000,2,,2,1,10,2,852
14,560000,2,,2,1,10,2,852
14,657000,3,1,2,2,14,2,1094
14,657000,3,1,2,2,14,1,1094
15,2100000,5,1,6,,8,2,3600
89,2100000,5,2,6,,8,3,2508
5,5500000,5,,5,,7,1,6142
4,7600000,7,,8,,9,2,13250
11,4800000,4,,5,,3,1,4622
15,3100000,6,1,7,,7,3,4575
15,2400000,5,1,6,,8,3,3805
4,368000,1,,1,,12,2,619
20,1580000,1,1,2,1,10,2,1087
54,1900000,6,,5,,23,2,4070
5,630000,3,,2,2,3,2,1079
4,7080000,7,,8,,9,3,8621
2,1700000,1,,2,1,3,2,1808
9,2600000,3,2,3,3,12,1,2260
1,2150000,3,1,5,2,3,1,2399
1,1000000,3,,2,1,11,,1676
11,1750000,4,1,4,2,11,2,2735
2,8280000,1,,1,4,33,,12000
14,537000,2,,2,1,1,3,797
30,1900000,5,1,8,5,32,3,4068
30,553000,3,,2,2,1,3,958
29,460000,2,,2,1,1,3,604
19,370000,2,,2,1,1,3,743
30,1700000,7,,6,,32,3,4865
4,639000,2,,3,2,14,2,897
26,2400000,,,,,33,,8500
1,1170000,2,,1,1,14,1,840
11,1120000,4,1,3,,1,,1650
6,5600000,8,,6,,2,1,7200
22,1000000,2,,2,2,11,1,1100
22,1000000,2,1,2,1,11,1,1200
29,2300000,6,,4,5,34,2,50000
5,360000,2,1,2,1,25,2,818
8,520000,3,,2,1,25,1,1089
8,470000,3,,2,,17,,1120
8,1180000,3,,3,,6,,2400
14,51281010,,,,,33,,1.35
27,620000,3,,2,2,11,2,
14,938000,3,,2,2,11,3,1663
3,,3,1,4,2,11,1,2015
3,1035000,3,1,4,2,11,2,1710
3,1040000,3,1,4,2,11,2,1876
3,1053000,3,1,4,2,11,2,1876
3,1400000,3,1,4,3,11,2,2412
3,1200000,4,1,4,2,11,2,2070
3,1560000,4,1,5,3,11,2,3020
12,1450000,3,1,3,2,13,1,1680
12,1480000,3,1,3,2,11,2,1777
37,1480000,5,,4,2,40,,3000
27,599000,3,,2,,3,,1328
27,928000,5,,3,,17,,2300
8,850000,5,1,3,,42,2,1650
14,730000,3,,2,2,11,2,1392
5,330000,2,,2,1,25,2,732
5,630000,1,1,1,1,10,2,721
5,850000,2,,2,2,10,2,1025
16,750000,2,1,2,2,14,2,1319
16,475000,1,,1,1,10,2,780
5,1000000,3,1,2,2,10,2,1254
16,475000,1,,1,1,10,2,750
16,715000,3,,2,2,10,1,1130
16,670000,2,,2,2,10,1,1250
16,675000,2,1,2,2,10,2,1655
5,950000,3,,2,2,10,2,1170
16,800000,3,,3,2,14,2,1430
14,570000,2,,2,2,10,1,875
5,930000,4,,3,3,12,2,1513
14,760000,3,1,3,2,3,2,1313
16,510000,3,,2,2,12,2,935
14,640000,3,,2,2,12,2,935
14,660000,3,1,2,2,14,2,1094
34,430000,1,,1,,1,1,600
13,980000,3,,2,1,1,2,1119
15,1650000,4,,4,,18,2,3633
36,488036,1,,1,,11,2,635
36,646000,3,,2,,11,2,1257
36,755000,3,,2,,11,2,1491
9,2500000,3,1,3,2,11,1,2271
43,561000,4,,4,4,36,,1879
56,540000,4,,4,,8,,2454
28,9500000,5,2,5,,2,2,10000
28,11800000,7,1,7,,2,2,8600
28,9500000,4,2,5,,2,1,11000
28,8180000,5,2,6,,2,2,9700
5,930000,3,,2,2,1,2,1170
5,1050000,3,,2,2,14,2,1301
5,858000,2,1,2,2,1,2,1025
26,558000,4,,2,2,51,2,1880
50,286200,3,,2,,5,,829
27,799000,3,,2,2,11,2,1150
27,1230000,3,,3,3,11,2,1894
4,468000,3,,2,2,11,3,1018
11,2750000,4,1,4,3,3,1,3541
4,625000,3,1,2,2,3,3,
4,660000,3,1,2,2,12,1,1394
40,240000,2,,1,,11,3,581
3,740000,1,,1,1,1,1,672
6,850000,2,,2,1,10,2,876
6,1480000,3,1,4,2,14,2,1840
30,1550000,4,,3,4,8,2,3700
7,450000,2,,1,1,11,2,
41,380000,3,1,2,1,10,2,925
11,1999000,3,1,4,2,11,1,2243
40,150000,3,,2,,5,,614
4,589000,2,1,2,1,1,1,920
22,6200000,4,2,6,,2,2,10500
6,1200000,2,,2,2,10,2,779
4,260000,2,,2,,12,3,755
22,2780000,6,,6,,42,2,2500
47,400000,5,,4,,7,,4510
11,1120000,4,1,3,2,1,,1650
16,2500000,4,,5,,23,3,4744
58,580000,3,,2,1,10,2,1100
14,620000,3,,2,,1,2,919
11,3200000,5,2,6,5,36,1,4500
1,3180000,3,1,4,3,1,2,3000
11,760000,2,,2,1,11,1,1000
12,2200000,3,1,4,,15,2,25
11,1750000,4,1,4,2,3,1,2800
11,1100000,3,1,3,2,11,1,1550
1,1230000,2,,1,1,1,,880
33,1110000,2,,2,1,16,1,1066
4,900000,4,1,3,2,6,2,22
4,660000,3,1,2,2,11,2,1478
4,630000,3,1,2,2,3,3,1478
5,1000000,2,1,2,2,1,2,1025
26,880000,5,1,5,,6,,22
26,640000,3,1,2,2,10,3,1292
4,300000,3,,2,1,3,2,958
4,309000,3,,2,1,25,3,780
4,950000,2,,2,1,10,2,883
12,4330000,4,1,5,5,58,2,4500
12,1550000,3,,3,2,15,1,1900
11,850000,3,,2,1,1,1,1250
3,1100000,1,1,2,2,11,1,1050
12,1650000,3,,3,2,32,1,1900
46,1050000,2,1,2,2,1,2,1410
33,1000000,2,,2,1,1,1,1041
16,540000,3,,2,,45,3,2454
11,1450000,3,1,3,,11,,1496
28,8800000,5,2,6,10,9,1,12000
21,550000,4,,4,2,11,,1313
14,4800000,5,,6,,11,3,6500
24,1150000,3,,3,,1,1,1488
24,1380000,3,1,4,2,1,1,1507
27,3100000,5,2,6,,4,1,4850
17,900000,1,,1,,1,1,742
24,6500000,4,,4,,1,2,4175
24,1350000,3,,3,2,14,1,1488
22,8580000,4,1,6,4,3,3,5200
24,4500000,5,1,7,,14,2,3992
1,2400000,4,1,4,,11,2,2000
15,1000000,3,,3,,11,2,1400
24,1400000,5,,4,,14,1,1507
1,3938715,4,,4,,11,1,3285
24,1380000,4,1,4,2,14,1,1661
33,3500000,5,,5,,2,1,13753
1,1280000,3,,3,,1,1,1475
22,8580000,4,1,6,4,3,3,5200
22,8580000,4,1,6,4,3,3,5200
24,850000,2,,2,2,10,1,1044
5,630000,3,,2,,11,2,1232
26,840000,4,,3,,11,1,1450
16,2800000,5,,5,,4,2,5000
33,540000,1,,1,,1,2,705
24,700000,1,,1,1,10,1,750
24,500000,1,,1,1,1,1,522
34,4200000,5,,6,3,84,2,2400
2,12000000,5,2,7,,9,2,10204
24,2100000,3,,3,1,11,1,18222
23,1200000,2,,2,,11,1,1450
4,1350000,5,,5,3,30,2,7584
23,7875000,,,,,33,,15000
1,4936800,4,,5,2,11,1,4488
24,7790000,4,1,6,2,1,2,4100
24,600000,1,,1,,11,1,809
24,4900000,4,,4,,1,1,2409
